fingerprint	kind	verdict	date	reason
0008ca92eed54e7510480b6fc9768d9f869686c9	clone	consolidate	2026-09-05	done 2026-09-05 batch E4 (TTTrackTreeView): same createActions() family as the x9 clone above; prior audit fingerprint ed5beb47 names exactly TTAudioTreeView::createActions/TTCutTreeView::createActions/TT
001291feeba9fa9a33ddc818f997bec409783d71	convention	deliberate	2026-09-04	comment style, no structure; older forms remain in place per conventions.md
004901afb20dfcf0d37676a888961035d0bebac9	clone	deliberate	2026-09-12	`tth264videoheader.h:173-184` is a run of trivial getter/setter pairs (`frameNum()`/`setFrameNum()`, `poc()`/`setPoc()`, `pts()`/`setPts()` …) on `TTH264AccessUnit`; `ttsettings.h:344-356` is the same accessor shape on u
0053e742747495d3fba7f73377d456a8874c8418	clone	consolidate	2026-09-03	ttcut-demux:1303-1324 (AUDIO_MAP dedupe-by-index-prefer-language) and 1327-1345 (SUB_MAP, identical logic) are a byte-for-byte structural duplicate differing on
005eb5495929f334946005303f54243538a43de9	tool	deliberate	2026-09-04	same linear-harness convention as row 31.
009b0e7627ba50a18886883da58d5d3cda13ad95	tool	consolidate	2026-09-03	"`TTEncodeParameter TTTranscodeProvider::parameter() { return enc_par; }` — repo-wide search finds zero callers (`grep -rn ""\.parameter(\|->parameter(""` outside "
009b29d9ffd1bc16ab1be615aacba61fcbc27a3e	convention	deliberate	2026-09-03	"build-package.sh:3 `set -e`; build-package.sh:56 `read -p ... || CHANGELOG_MSG=""""` and build-package.sh:18 `trap '... || true' EXIT` are written specifically to"
00b83896b551bb10cce131f8679e8f6e94c797d9	clone	deliberate	2026-09-04	overlapping range of the same `Event`/`Recorder`/`dirEntries`/`clearDir`/`stateName` block covered in row 6/8; single class verdict.
00c51ca463cfb7d8c3b9ef05b2adc95f30953c17	tool	deliberate	2026-09-03	common/ttmessagelogger.h:27-28 makes the constructor private, and the only construction site is `new TTMessageLogger(mode)` inside getInstance() (common/ttmessa
00eb42a9681139f59edfe9712d0897202be723b7	tool	deliberate	2026-09-03	`(TTPicturesHeader*)header_list->getNextHeader(...)` is one of 15 old-style C-casts of header-list results in this same file (avstream/ttmpeg2videostream.cpp); 
00f80192c630d45e87e9e57831af2207e7065afe	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `actCutIn` is only assigned via `menu.addAction(...)` (line 194) and later compared with `==` (line 240) — never mutated through this pointer.
01054e2797c40e89543c54dd5f36d978ed2c78db	tool	deliberate	2026-09-03	false positive — called at gui/ttcutsettingssearch.cpp:69.
0137e9b56d0aaca641b5049bf00b5ed896560991	clone	deliberate	2026-09-12	C1, same TTThreadTask wiring tail.
013f4d15388d1f258671d6b2178ac2ce123d718b	clone	deliberate	2026-09-12	internal fragment within one file/likely one function family, not cross-cutting; not read in full but low scanner token count (41) suggests a small local guard pair.
0178e9324c675def5c5fbb01867465481539c002	tool	deliberate	2026-09-03	"same function and same rationale as ""method-size TTFFmpegWrapper::cutAudioStream"" above (audio-cut-timing.md single-pass design) — the tool is right about the s"
01cef3babe04a5edea59bb9319630c56027f8b0f	method-size	consolidate	2026-09-03	"method is explicitly two passes by its own comments — ""Pass 1"" AU segmentation (avstream/ttnaluparser.cpp:812-897) and ""// Pass 2: Merge field pairs (PAFF)"" (av"
020f28f17cfb3d8a208cc30054ceffd1de8d20f7	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `const int16_t* data = (const int16_t*)frame->data[...]` — mechanical fix to reinterpret_cast; identical pattern also at lines 820 (float) and 850 (int32) in th
022c6057a9aba6052b3b81b30ffec2bc804426bf	clone	consolidate	2026-09-03	ttcut-demux:1373-1374 (`START_PTS`/`AUDIO_START_PTS`, pre-repair) and 1510-1511 (`NEW_VIDEO_PTS`/`NEW_AUDIO_PTS`, post-repair) issue the identical `ffprobe ... 
022cd840bbc0d357edbac710c9ac2d5adfab3280	tool	deliberate	2026-09-03	"same `ok`/`bad` always-succeeds reasoning as line 170; `... && ok ""maximized=false ..."" \|| note ""...""` at line 182-184 (note() likewise ends in echo, always 0)"
02366e955538a01063694d2bbcee0e6e1bd1a416	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `TTWindowGeometry ttLoadDialogSize(QSettings& settings, ...)` (ttwindowgeometry.cpp:53) only calls `.contains()`/`.value()` (both const QSettings methods), neve
024c4f9913c951ca0343854fc1989f0edd1a3fab	tool	deliberate	2026-09-03	"gate_encode_tempdir.sh:42 `cores=$(ls ""$OUT""/core* 2>/dev/null | wc -l)` counts core-dump files this same script created moments earlier with a fixed `core*` gl"
026b897a094aa390331dfe8a3760c5f3342750a7	tool	consolidate	2026-09-03	verified — TTAVData::createCutFileName(...) (ttavdata.cpp:1437-1444) only uses its parameters and TTSettings::instance(), no `this` use; declared in data/ttavda
02878f483f0d5928550b06c09527f46e2d7bbed0	tool	consolidate	2026-09-04	done 2026-09-04 batch B: data/ttstreampoint_audioworker.cpp:318-319, `endTag` only tested for null and passed to nothing that mutates it
028d205713eaac48aaaca88421f534bd5287e20c	tool	consolidate	2026-09-03	verified — TTCutPreviewTask::createPreviewCutList(TTCutList* cutList) (ttcutpreviewtask.cpp:799ff) only uses its parameter and TTSettings::instance(), no `this`
